committee_id,committee_name,contributor_occupation,contribution_receipt_date,contribution_receipt_amount,count
C00696948,BERNIE 2020,FACULTY,2/20/19 0:00,1000,
C00696948,BERNIE 2020,FACULTY,3/31/19 0:00,27,
C00696948,BERNIE 2020,FACULTY,3/31/19 0:00,27,
C00696948,BERNIE 2020,FACULTY,4/24/19 0:00,500,
C00696948,BERNIE 2020,FACULTY,4/24/19 0:00,270,
C00696948,BERNIE 2020,FACULTY,4/30/19 0:00,6,
C00696948,BERNIE 2020,FACULTY,4/30/19 0:00,6,
C00696948,BERNIE 2020,FACULTY,5/31/19 0:00,6,
C00696948,BERNIE 2020,FACULTY,5/31/19 0:00,6,
C00696948,BERNIE 2020,FACULTY,6/30/19 0:00,6,
C00696948,BERNIE 2020,FACULTY,6/30/19 0:00,6,
C00696948,BERNIE 2020,FACULTY,6/29/19 0:00,1000,
C00696948,BERNIE 2020,FACULTY,8/31/19 0:00,6,
C00696948,BERNIE 2020,FACULTY,9/30/19 0:00,6,
C00696948,BERNIE 2020,FACULTY,9/30/19 0:00,6,
C00696948,BERNIE 2020,FACULTY,7/31/19 0:00,6,
C00696948,BERNIE 2020,FACULTY,7/31/19 0:00,6,
C00696948,BERNIE 2020,FACULTY,8/31/19 0:00,6,
C00705186,BENNET FOR AMERICA,FACULTY,5/3/19 0:00,2800,
C00693234,"WARREN FOR PRESIDENT, INC.",FACULTY,4/6/19 0:00,250,
C00695510,CORY 2020,FACULTY,8/29/19 0:00,500,
C00703975,BIDEN FOR PRESIDENT,FACULTY,8/17/19 0:00,1000,
C00703975,BIDEN FOR PRESIDENT,FACULTY,9/17/19 0:00,500,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,7/22/19 0:00,15,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,9/27/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,7/22/19 0:00,15,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,7/26/19 0:00,15,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,8/15/19 0:00,35,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,9/19/19 0:00,15,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,8/30/19 0:00,25,
C00696948,BERNIE 2020,ADMIN,9/25/19 0:00,2.7,
C00696948,BERNIE 2020,ADMIN,9/27/19 0:00,27,
C00696948,BERNIE 2020,ADMIN,9/26/19 0:00,27,
C00696948,BERNIE 2020,ADMIN,9/29/19 0:00,15,
C00696948,BERNIE 2020,ADMIN,9/29/19 0:00,27,
C00696948,BERNIE 2020,ADMIN,9/24/19 0:00,5,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,9/24/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,7/10/19 0:00,28,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,7/26/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,8/26/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,9/26/19 0:00,25,
C00694455,KAMALA HARRIS FOR THE PEOPLE,ADMIN,6/30/19 0:00,1000,
C00698258,HICKENLOOPER 2020,ADMIN,3/5/19 0:00,1000,
C00695510,CORY 2020,ADMIN,2/1/19 0:00,2700,
C00695510,CORY 2020,ADMIN,2/11/19 0:00,127.28,
C00695510,CORY 2020,ADMIN,2/11/19 0:00,-27.28,
C00695510,CORY 2020,ADMIN,2/11/19 0:00,27.28,
C00696948,BERNIE 2020,FACULTY,9/18/19 0:00,6,
C00696948,BERNIE 2020,FACULTY,8/18/19 0:00,9,
C00696948,BERNIE 2020,FACULTY,8/16/19 0:00,2.7,
C00696948,BERNIE 2020,FACULTY,8/14/19 0:00,200,
C00696948,BERNIE 2020,FACULTY,8/18/19 0:00,6,
C00696948,BERNIE 2020,FACULTY,8/31/19 0:00,27,
C00696948,BERNIE 2020,FACULTY,8/31/19 0:00,10,
C00696948,BERNIE 2020,FACULTY,9/3/19 0:00,7,
C00693234,"WARREN FOR PRESIDENT, INC.",FACULTY,8/19/19 0:00,10,
C00693234,"WARREN FOR PRESIDENT, INC.",FACULTY,8/19/19 0:00,100,
C00693234,"WARREN FOR PRESIDENT, INC.",FACULTY,9/20/19 0:00,10,
C00693234,"WARREN FOR PRESIDENT, INC.",FACULTY,9/29/19 0:00,15,
C00659938,FRIENDS OF ANDREW YANG,FACULTY,7/30/19 0:00,30,
C00659938,FRIENDS OF ANDREW YANG,FACULTY,8/5/19 0:00,20,
C00659938,FRIENDS OF ANDREW YANG,FACULTY,8/8/19 0:00,10,
C00659938,FRIENDS OF ANDREW YANG,FACULTY,8/16/19 0:00,10,
C00659938,FRIENDS OF ANDREW YANG,FACULTY,8/21/19 0:00,10,
C00659938,FRIENDS OF ANDREW YANG,FACULTY,8/27/19 0:00,10,
C00659938,FRIENDS OF ANDREW YANG,FACULTY,8/30/19 0:00,25,
C00659938,FRIENDS OF ANDREW YANG,FACULTY,9/10/19 0:00,10,
C00659938,FRIENDS OF ANDREW YANG,FACULTY,9/24/19 0:00,25,
C00659938,FRIENDS OF ANDREW YANG,FACULTY,9/29/19 0:00,10,
C00695510,CORY 2020,FACULTY,9/25/19 0:00,2800,
C00696948,BERNIE 2020,FACULTY,3/26/19 0:00,101,
C00694018,GILLIBRAND 2020,LAW/POLITICS,6/3/19 0:00,250,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,8/21/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,7/16/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,7/21/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,8/16/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,9/16/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,9/21/19 0:00,25,
C00699090,BETO FOR AMERICA,ADMIN,8/21/19 0:00,50,
C00699090,BETO FOR AMERICA,ADMIN,9/7/19 0:00,25,
C00699090,BETO FOR AMERICA,ADMIN,9/13/19 0:00,100,
C00699090,BETO FOR AMERICA,ADMIN,9/25/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",FACULTY,7/1/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",FACULTY,8/1/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",FACULTY,8/19/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",FACULTY,9/1/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,7/29/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,8/29/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,9/25/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,9/29/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,9/29/19 0:00,10,
C00706416,BULLOCK FOR PRESIDENT,ADMIN,5/14/19 0:00,1000,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,5/9/19 0:00,250,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,6/25/19 0:00,67.42,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,6/30/19 0:00,100,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,4/11/19 0:00,250,
C00695510,CORY 2020,FACULTY,9/25/19 0:00,1000,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,9/23/19 0:00,25,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,7/6/19 0:00,25,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,8/20/19 0:00,25,
C00695510,CORY 2020,FACULTY,5/30/19 0:00,500,
C00697441,"PETE FOR AMERICA, INC.",ACADEMIA,9/28/19 0:00,100,
C00697441,"PETE FOR AMERICA, INC.",ACADEMIA,8/31/19 0:00,25,
C00697441,"PETE FOR AMERICA, INC.",ACADEMIA,9/15/19 0:00,25,
C00697441,"PETE FOR AMERICA, INC.",ACADEMIA,8/12/19 0:00,100,
C00696948,BERNIE 2020,ACADEMIA,8/14/19 0:00,27,
C00696948,BERNIE 2020,ACADEMIA,8/31/19 0:00,20,
C00696948,BERNIE 2020,ACADEMIA,9/13/19 0:00,27,
C00696948,BERNIE 2020,ACADEMIA,9/24/19 0:00,27,
C00696948,BERNIE 2020,ACADEMIA,9/30/19 0:00,27,
C00696948,BERNIE 2020,ACADEMIA,9/26/19 0:00,15,
C00696948,BERNIE 2020,ACADEMIA,9/28/19 0:00,10,
C00693044,JULIAN FOR THE FUTURE,FINANCE/ECONOMICS/CORPORATE,1/22/19 0:00,250,
C00694455,KAMALA HARRIS FOR THE PEOPLE,FACULTY,9/29/19 0:00,100,
C00696948,BERNIE 2020,EDUCATION,3/30/19 0:00,250,
C00694455,KAMALA HARRIS FOR THE PEOPLE,EDUCATION,3/28/19 0:00,500,
C00697441,"PETE FOR AMERICA, INC.",TEACHING POSITIONS,3/31/19 0:00,2700,
C00703975,BIDEN FOR PRESIDENT,TEACHING POSITIONS,5/16/19 0:00,1000,
C00693234,"WARREN FOR PRESIDENT, INC.",TEACHING POSITIONS,5/28/19 0:00,100,
C00693234,"WARREN FOR PRESIDENT, INC.",TEACHING POSITIONS,6/27/19 0:00,100,
C00693234,"WARREN FOR PRESIDENT, INC.",TEACHING POSITIONS,7/20/19 0:00,15,
C00705186,BENNET FOR AMERICA,FINANCE/ECONOMICS/CORPORATE,7/17/19 0:00,100,
C00705186,BENNET FOR AMERICA,FINANCE/ECONOMICS/CORPORATE,8/5/19 0:00,50,
C00705186,BENNET FOR AMERICA,FINANCE/ECONOMICS/CORPORATE,8/12/19 0:00,25,
C00705186,BENNET FOR AMERICA,FINANCE/ECONOMICS/CORPORATE,8/21/19 0:00,25,
C00705186,BENNET FOR AMERICA,FINANCE/ECONOMICS/CORPORATE,9/10/19 0:00,50,
C00705186,BENNET FOR AMERICA,FINANCE/ECONOMICS/CORPORATE,9/12/19 0:00,25,
C00705186,BENNET FOR AMERICA,FINANCE/ECONOMICS/CORPORATE,9/16/19 0:00,25,
C00705186,BENNET FOR AMERICA,FINANCE/ECONOMICS/CORPORATE,9/27/19 0:00,35,
C00705186,BENNET FOR AMERICA,FINANCE/ECONOMICS/CORPORATE,9/30/19 0:00,15,
C00697441,"PETE FOR AMERICA, INC.",FINANCE/ECONOMICS/CORPORATE,9/27/19 0:00,50,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,4/30/19 0:00,100,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,5/19/19 0:00,100,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,6/28/19 0:00,100,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,9/28/19 0:00,33.55,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,7/30/19 0:00,10,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,9/24/19 0:00,50,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,8/9/19 0:00,100,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,8/14/19 0:00,100,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,9/28/19 0:00,45,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,7/17/19 0:00,100,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,7/23/19 0:00,100,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,8/25/19 0:00,25,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,9/2/19 0:00,25,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,9/7/19 0:00,100,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,9/13/19 0:00,33.9,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,9/13/19 0:00,100,
C00696948,BERNIE 2020,OTHER,2/19/19 0:00,250,
C00697441,"PETE FOR AMERICA, INC.",OTHER,9/13/19 0:00,100,
C00697441,"PETE FOR AMERICA, INC.",GRAD STUDENTS,8/4/19 0:00,250,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,1/22/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,1/31/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,2/25/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,3/7/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,3/9/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,3/14/19 0:00,107.61,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,3/28/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,3/30/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,4/4/19 0:00,57.11,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,4/27/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,4/29/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,5/22/19 0:00,72.42,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,6/25/19 0:00,25,
C00696948,BERNIE 2020,GRAD STUDENTS,9/19/19 0:00,125,
C00696948,BERNIE 2020,GRAD STUDENTS,9/30/19 0:00,100,
C00696948,BERNIE 2020,GRAD STUDENTS,8/19/19 0:00,10,
C00696948,BERNIE 2020,GRAD STUDENTS,9/23/19 0:00,100,
C00696948,BERNIE 2020,GRAD STUDENTS,9/30/19 0:00,50,
C00696948,BERNIE 2020,GRAD STUDENTS,7/19/19 0:00,10,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,7/8/19 0:00,87.13,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,8/27/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,9/25/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",GRAD STUDENTS,7/10/19 0:00,103,
C00703975,BIDEN FOR PRESIDENT,OTHER,9/18/19 0:00,2800,
C00696948,BERNIE 2020,MEDICINE/SCIENCE,9/29/19 0:00,50,
C00696948,BERNIE 2020,MEDICINE/SCIENCE,7/28/19 0:00,50,
C00696948,BERNIE 2020,MEDICINE/SCIENCE,9/30/19 0:00,31.66,
C00697441,"PETE FOR AMERICA, INC.",FACULTY,4/1/19 0:00,500,
C00693044,JULIAN FOR THE FUTURE,LAW/POLITICS,8/8/19 0:00,30,
C00693044,JULIAN FOR THE FUTURE,LAW/POLITICS,8/28/19 0:00,30,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,9/17/19 0:00,34.85,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,9/3/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,7/20/19 0:00,100,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,8/9/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,7/9/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,7/15/19 0:00,34.58,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,8/7/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,8/12/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,9/8/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,9/29/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,7/25/19 0:00,100,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,7/30/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,8/18/19 0:00,34.58,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,9/4/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",OTHER,9/17/19 0:00,100,
C00508416,FRIENDS OF JOHN DELANEY,LAW/POLITICS,7/31/19 0:00,100,
C00508416,FRIENDS OF JOHN DELANEY,LAW/POLITICS,9/11/19 0:00,500,
C00693234,"WARREN FOR PRESIDENT, INC.",FINANCE/ECONOMICS/CORPORATE,8/26/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",FINANCE/ECONOMICS/CORPORATE,8/26/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",FINANCE/ECONOMICS/CORPORATE,8/26/19 0:00,50,
C00696948,BERNIE 2020,ACADEMIA,5/13/19 0:00,50,
C00696948,BERNIE 2020,ACADEMIA,6/8/19 0:00,54,
C00696948,BERNIE 2020,ACADEMIA,6/22/19 0:00,80.86,
C00696948,BERNIE 2020,ACADEMIA,8/11/19 0:00,50,
C00696948,BERNIE 2020,ACADEMIA,7/22/19 0:00,100,
C00696948,BERNIE 2020,ACADEMIA,7/4/19 0:00,27,
C00696948,BERNIE 2020,ACADEMIA,9/11/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,6/17/19 0:00,250,
C00693234,"WARREN FOR PRESIDENT, INC.",ADMIN,6/23/19 0:00,50,
C00699090,BETO FOR AMERICA,MEDICINE/SCIENCE,7/30/19 0:00,25,
C00699090,BETO FOR AMERICA,MEDICINE/SCIENCE,7/21/19 0:00,50,
C00695510,CORY 2020,POSTGRAD,9/21/19 0:00,500,
C00695510,CORY 2020,POSTGRAD,8/1/19 0:00,50,
C00693234,"WARREN FOR PRESIDENT, INC.",POSTGRAD,4/26/19 0:00,33.82,
C00693234,"WARREN FOR PRESIDENT, INC.",POSTGRAD,6/14/19 0:00,25,
C00693234,"WARREN FOR PRESIDENT, INC.",POSTGRAD,6/27/19 0:00,145.61,
C00693234,"WARREN FOR PRESIDENT, INC.",POSTGRAD,9/25/19 0:00,34.85,
C00693234,"WARREN FOR PRESIDENT, INC.",POSTGRAD,7/14/19 0:00,34.58,
C00693234,"WARREN FOR PRESIDENT, INC.",POSTGRAD,9/18/19 0:00,15,
C00693234,"WARREN FOR PRESIDENT, INC.",POSTGRAD,9/27/19 0:00,3,
C00659938,FRIENDS OF ANDREW YANG,POSTGRAD,9/7/19 0:00,250,
